dataset,metric,count,mean,std,p50,p90,p99,max
feasible,A0_step_abs_max,12000,0.0014211066489418348,0.0023778074218540144,0.00028973817825317383,0.005079030990600586,0.00779414176940918,0.008160650730133057
feasible,R0_step_abs_max,12000,0.0005532115002473195,0.0007480248090260207,0.00022590160369873047,0.0014081001281738281,0.0025905370712280273,0.0025905370712280273
feasible,Z0_step_abs_max,12000,0.00025033389326047957,0.00014718483076423496,0.00020658131688833237,0.00048120785504579544,0.0006630392745137215,0.0006630392745137215
feasible,boundary_mean_radius_range_m,12000,0.022019107503350822,0.009557248527182437,0.022195663303136826,0.032419743761420254,0.04768209634348756,0.058217111974954605
feasible,boundary_step_any_angle_abs_m_max,12000,0.0030586763521035514,0.0045407285751312395,0.0008377730846405029,0.011418342590332031,0.01373286783695221,0.014265894889831543
feasible,boundary_step_mean_abs_m_max,12000,0.00211415722190092,0.0034831972210316153,0.00039145350456237793,0.008099626749753952,0.010668770410120487,0.011122480034828186
feasible,boundary_step_mean_abs_m_mean,12000,0.00023159496520025035,9.129207176766407e-05,0.0002323755994439125,0.00033243105560541155,0.0004884609505534173,0.0006648938730359077
feasible,delta_step_abs_max,12000,0.0023314665692547956,0.0012014980062035514,0.0023007094860076904,0.003935858607292175,0.005967870354652405,0.006456911563873291
feasible,endpoint_abs_dA0,12000,0.014438074511786301,0.00898468108489398,0.01274806261062622,0.025289535522460938,0.04058174133300782,0.05006510019302368
feasible,endpoint_abs_dR0,12000,0.005387431512276331,0.00478474766795202,0.0037380456924438477,0.013728141784667969,0.017130089998245262,0.018505454063415527
feasible,endpoint_abs_dZ0,12000,0.0019338483529287866,0.0015133208369386645,0.0016391919925808907,0.004197354428470135,0.006021526176482439,0.006409316090866923
feasible,endpoint_abs_ddelta,12000,0.012664681585816046,0.006530923360683008,0.012690067291259766,0.01956469565629959,0.03413015015423298,0.04815928637981415
feasible,endpoint_abs_dip_a,12000,28109.431536458334,24555.809920510306,21519.1875,59048.209375,68877.625,73749.4375
feasible,endpoint_abs_dkappa,12000,0.017583237846692402,0.015655425645703196,0.01191091537475586,0.04106771945953369,0.07319500565528873,0.11203420162200928
feasible,endpoint_max_abs_dradii_m,12000,0.02950697477410237,0.01244109243647977,0.029932618141174316,0.04394051432609559,0.061294225454330456,0.07916122674942017
feasible,endpoint_mean_abs_dradii_m,12000,0.021502442608897884,0.009979841485880284,0.021847831085324287,0.03198088593780995,0.047624549400061375,0.058217111974954605
feasible,endpoint_signed_dip_a,12000,21365.9087421875,30604.34423044523,12080.8125,58700.6796875,61565.36453125,64972.328125
feasible,ip_rate_abs_max_aps,12000,338129.3333333333,256144.3087923241,333750.0,625531.25,786531.25,808062.5
feasible,ip_step_abs_max_a,12000,338.1293333333333,256.1443087923241,333.75,625.53125,786.53125,808.0625
feasible,kappa_step_abs_max,12000,0.0019736533562342328,0.0023295890281197114,0.0008466243743896484,0.006386160850524902,0.00723576545715332,0.007970929145812988
simple,A0_step_abs_max,12000,0.00021080937733252843,0.00017773902044812773,0.00019800662994384766,0.0004678428173065186,0.0006994634866714478,0.0008850693702697754
simple,R0_step_abs_max,12000,0.0,0.0,0.0,0.0,0.0,0.0
simple,Z0_step_abs_max,12000,0.0,0.0,0.0,0.0,0.0,0.0
simple,action_abs_max,12000,0.3433350793177907,0.24927928184035086,0.31931609006558587,0.6578205008018045,0.951779028005581,0.9984391834192025
simple,action_rms,12000,0.11209671877900071,0.08790659119632147,0.094751398271437,0.2593652423495283,0.32999266130209876,0.35305578966392565
simple,action_step_jump_abs_max,12000,0.028415514647122404,0.035493011364974555,0.0033930956025895187,0.08238567531719443,0.11911392771699726,0.1440556014526609
simple,action_step_jump_rms,12000,0.003084043688207184,0.004113258149268274,0.00035492279200570974,0.008799586463472531,0.015366489928406996,0.0172625527416022
simple,boundary_mean_radius_range_m,12000,0.01741933991154656,0.010920732168775272,0.021419305354356766,0.028932128101587296,0.033381334543228156,0.04431960731744766
simple,boundary_step_any_angle_abs_m_max,12000,0.00035295850535233816,0.00027258383714678024,0.00032767653465270996,0.0007336914539337159,0.0010852307081222535,0.0013745427131652832
simple,boundary_step_mean_abs_m_max,12000,0.00027647381400068604,0.00021854667736486972,0.0002582743763923645,0.0005839802324771881,0.0008715262636542321,0.0011049695312976837
simple,boundary_step_mean_abs_m_mean,12000,0.0001745841637921209,0.00010894314456479917,0.00021419305354356767,0.00028932128101587294,0.00033381334543228154,0.0004431960731744766
simple,current_abs_max_a,12000,6875122.62878125,1923067.3240646543,7171488.5,9058625.2,9749863.92,9905311.0
simple,current_over_limit_a_max,12000,0.0,0.0,0.0,0.0,0.0,0.0
simple,current_usage_fraction_max,12000,0.6406644404244503,0.12770124580591682,0.701741113171144,0.710717596418954,0.7126481114131908,0.713990555659415
simple,delta_step_abs_max,12000,0.00013621563588579497,0.00010599129328637042,0.00013292208313941956,0.0002777405083179474,0.0004330135881900788,0.0005773752927780151
simple,endpoint_abs_dA0,12000,0.013178314380347729,0.00891431017031282,0.016102582216262817,0.02301716208457947,0.026353821754455567,0.038596123456954956
simple,endpoint_abs_dR0,12000,0.0,0.0,0.0,0.0,0.0,0.0
simple,endpoint_abs_dZ0,12000,0.0,0.0,0.0,0.0,0.0,0.0
simple,endpoint_abs_ddelta,12000,0.008511379993831118,0.005664949794633079,0.009861111640930176,0.015049843490123749,0.0185522598028183,0.022835440933704376
simple,endpoint_abs_dip_a,12000,13324.80631640625,19658.51594340048,4000.703125,53935.490625,60510.830625,73061.140625
simple,endpoint_abs_dkappa,12000,0.008030468811591467,0.009309279659729892,0.005927026271820068,0.01728446483612061,0.04464390635490419,0.058443665504455566
simple,endpoint_max_abs_dradii_m,12000,0.02224635651210944,0.013838098924831444,0.0267065167427063,0.036689817905426025,0.04473409175872804,0.057929158210754395
simple,endpoint_mean_abs_dradii_m,12000,0.01738737168395892,0.010952225517679602,0.021419305354356766,0.028932128101587296,0.033381334543228156,0.04431960731744766
simple,endpoint_signed_dip_a,12000,8085.39424609375,22330.116711560313,0.0,53487.10312500001,59226.7040625,64811.59375
simple,ip_rate_abs_max_aps,12000,182926.06510416666,260236.12560309435,56625.0,572134.375,1029220.156250001,1346015.625
simple,ip_step_abs_max_a,12000,182.92606510416667,260.23612560309437,56.625,572.1343750000001,1029.220156250001,1346.015625
simple,jdot_abs_max_aps,12000,6724017.635416667,4826146.323406209,6385750.0,13484525.000000002,18357090.000000004,20911500.0
simple,jdot_rms_aps,12000,1984742.2816445227,1332130.1376916426,1928993.3365180013,3819432.4395800377,4852778.844533799,5276125.56543583
simple,jdot_step_jump_abs_max_aps,12000,552932.0065104166,709756.9889957389,45765.625,1691500.0,2303502.5,3018000.0
simple,jdot_step_jump_rms_aps,12000,55952.408676677805,72246.04547838868,4919.800145442381,171323.8347588301,240064.46692226717,274410.0330012726
simple,kappa_step_abs_max,12000,0.00012184349695841472,0.000137020305895863,8.869171142578125e-05,0.0002650380134582521,0.0007049095630645757,0.0011997222900390625
simple,nearest_reference_window_distance,12000,0.07673990410361489,0.07646765957325159,0.04322599122652224,0.22353448491769934,0.22353448491769934,0.22353448491769934
