dataset,metric,count,mean,std,p50,p90,p99,max
feasible,A0_step_abs_max,12000,0.0014211066489418348,0.0023778074218540144,0.00028973817825317383,0.005079030990600586,0.00779414176940918,0.008160650730133057
feasible,R0_step_abs_max,12000,0.0005532115002473195,0.0007480248090260207,0.00022590160369873047,0.0014081001281738281,0.0025905370712280273,0.0025905370712280273
feasible,Z0_step_abs_max,12000,0.00025033389326047957,0.00014718483076423496,0.00020658131688833237,0.00048120785504579544,0.0006630392745137215,0.0006630392745137215
feasible,boundary_mean_radius_range_m,12000,0.022019107503350822,0.009557248527182437,0.022195663303136826,0.032419743761420254,0.04768209634348756,0.058217111974954605
feasible,boundary_step_any_angle_abs_m_max,12000,0.0030586763521035514,0.0045407285751312395,0.0008377730846405029,0.011418342590332031,0.01373286783695221,0.014265894889831543
feasible,boundary_step_mean_abs_m_max,12000,0.00211415722190092,0.0034831972210316153,0.00039145350456237793,0.008099626749753952,0.010668770410120487,0.011122480034828186
feasible,boundary_step_mean_abs_m_mean,12000,0.00023159496520025035,9.129207176766407e-05,0.0002323755994439125,0.00033243105560541155,0.0004884609505534173,0.0006648938730359077
feasible,delta_step_abs_max,12000,0.0023314665692547956,0.0012014980062035514,0.0023007094860076904,0.003935858607292175,0.005967870354652405,0.006456911563873291
feasible,endpoint_abs_dA0,12000,0.014438074511786301,0.00898468108489398,0.01274806261062622,0.025289535522460938,0.04058174133300782,0.05006510019302368
feasible,endpoint_abs_dR0,12000,0.005387431512276331,0.00478474766795202,0.0037380456924438477,0.013728141784667969,0.017130089998245262,0.018505454063415527
feasible,endpoint_abs_dZ0,12000,0.0019338483529287866,0.0015133208369386645,0.0016391919925808907,0.004197354428470135,0.006021526176482439,0.006409316090866923
feasible,endpoint_abs_ddelta,12000,0.012664681585816046,0.006530923360683008,0.012690067291259766,0.01956469565629959,0.03413015015423298,0.04815928637981415
feasible,endpoint_abs_dip_a,12000,28109.431536458334,24555.809920510306,21519.1875,59048.209375,68877.625,73749.4375
feasible,endpoint_abs_dkappa,12000,0.017583237846692402,0.015655425645703196,0.01191091537475586,0.04106771945953369,0.07319500565528873,0.11203420162200928
feasible,endpoint_max_abs_dradii_m,12000,0.02950697477410237,0.01244109243647977,0.029932618141174316,0.04394051432609559,0.061294225454330456,0.07916122674942017
feasible,endpoint_mean_abs_dradii_m,12000,0.021502442608897884,0.009979841485880284,0.021847831085324287,0.03198088593780995,0.047624549400061375,0.058217111974954605
feasible,endpoint_signed_dip_a,12000,21365.9087421875,30604.34423044523,12080.8125,58700.6796875,61565.36453125,64972.328125
feasible,ip_rate_abs_max_aps,12000,338129.3333333333,256144.3087923241,333750.0,625531.25,786531.25,808062.5
feasible,ip_step_abs_max_a,12000,338.1293333333333,256.1443087923241,333.75,625.53125,786.53125,808.0625
feasible,kappa_step_abs_max,12000,0.0019736533562342328,0.0023295890281197114,0.0008466243743896484,0.006386160850524902,0.00723576545715332,0.007970929145812988
simple (mode=ramp),A0_step_abs_max,2400,0.00015889237324396768,7.054081401756044e-05,0.0001844167709350586,0.0002330660820007324,0.0002709135413169858,0.000385969877243042
simple (mode=ramp),R0_step_abs_max,2400,0.0,0.0,0.0,0.0,0.0,0.0
simple (mode=ramp),Z0_step_abs_max,2400,0.0,0.0,0.0,0.0,0.0,0.0
simple (mode=ramp),action_abs_max,2400,0.312326009268214,0.14456503578660784,0.23653662458537478,0.5648835421049275,0.608994894397644,0.6194356437221461
simple (mode=ramp),action_rms,2400,0.13048933532001997,0.07622551690238408,0.08635861446767881,0.26017694397707947,0.2768309761821737,0.2822127783425817
simple (mode=ramp),action_step_jump_abs_max,2400,2.904206154354199e-05,1.1636616137591454e-05,2.4654645613729834e-05,4.7732140971729065e-05,4.7732140971729065e-05,7.159821145760747e-05
simple (mode=ramp),action_step_jump_rms,2400,9.094741580397457e-06,3.214601252647298e-06,9.122412062279672e-06,1.3484649514529027e-05,1.7239541493676198e-05,1.8291308955238717e-05
simple (mode=ramp),boundary_mean_radius_range_m,2400,0.021400966810372967,0.007700628773689551,0.02375422976911068,0.02929682768881321,0.03421723462641237,0.04431960731744766
simple (mode=ramp),boundary_step_any_angle_abs_m_max,2400,0.00027894385159015655,9.603150131666883e-05,0.0002982020378112793,0.0003845274448394775,0.00046367645263671706,0.0005532503128051758
simple (mode=ramp),boundary_step_mean_abs_m_max,2400,0.000215049017375956,7.745045041338798e-05,0.00023825280368328094,0.00029443465173244475,0.0003465463221073149,0.00044519640505313873
simple (mode=ramp),boundary_step_mean_abs_m_mean,2400,0.00021403377659929299,7.694338766560053e-05,0.0002375422976911068,0.00029296827688813206,0.00034217234626412373,0.0004431960731744766
simple (mode=ramp),current_abs_max_a,2400,6965910.3298958335,1810511.8506270591,7187009.25,9068917.9,9765877.729999999,9903158.0
simple (mode=ramp),current_over_limit_a_max,2400,0.0,0.0,0.0,0.0,0.0,0.0
simple (mode=ramp),current_usage_fraction_max,2400,0.647525380265134,0.11503551672016055,0.7018859188110242,0.7107063398808096,0.7126972151974156,0.7134168184387855
simple (mode=ramp),delta_step_abs_max,2400,0.0001088189830382665,4.2623851757759594e-05,0.00011641904711723328,0.00015699192881584166,0.00019542708992958038,0.00022621452808380127
simple (mode=ramp),endpoint_abs_dA0,2400,0.01588628802448511,0.007054141248183051,0.0184381902217865,0.02330474853515625,0.0270889341831207,0.038596123456954956
simple (mode=ramp),endpoint_abs_dR0,2400,0.0,0.0,0.0,0.0,0.0,0.0
simple (mode=ramp),endpoint_abs_dZ0,2400,0.0,0.0,0.0,0.0,0.0,0.0
simple (mode=ramp),endpoint_abs_ddelta,2400,0.010881242031852404,0.0042623582149084295,0.011641282588243484,0.01569851189851761,0.01954219840466973,0.022620975971221924
simple (mode=ramp),endpoint_abs_dip_a,2400,19840.53107421875,22400.205967625938,5274.828125,55841.390625,61739.232187499976,72708.171875
simple (mode=ramp),endpoint_abs_dkappa,2400,0.010928357839584351,0.01007373914682977,0.007491707801818848,0.024716341495513904,0.0461117005348204,0.056745052337646484
simple (mode=ramp),endpoint_max_abs_dradii_m,2400,0.027689366539319357,0.009477957281805983,0.02960488200187683,0.03806346654891968,0.04570961058139776,0.05444139242172241
simple (mode=ramp),endpoint_mean_abs_dradii_m,2400,0.021403377312235534,0.007694339630523278,0.02375422976911068,0.02929682768881321,0.03421723462641237,0.04431960731744766
simple (mode=ramp),endpoint_signed_dip_a,2400,13003.47486328125,26950.42749529434,-925.390625,55411.331249999996,60085.315624999996,62959.015625
simple (mode=ramp),ip_rate_abs_max_aps,2400,198420.20833333334,224001.0757222216,52765.625,558418.75,617399.8437499998,727093.75
simple (mode=ramp),ip_step_abs_max_a,2400,198.42020833333333,224.00107572222163,52.765625,558.41875,617.3998437499998,727.09375
simple (mode=ramp),jdot_abs_max_aps,2400,5947765.052083333,2393291.608190953,4859250.0,9739800.0,10466010.0,10772500.0
simple (mode=ramp),jdot_rms_aps,2400,2218158.365148182,954275.1355640392,1762302.2929078485,3746638.738440337,4009956.9154894296,4118398.65615009
simple (mode=ramp),jdot_step_jump_abs_max_aps,2400,594.6354166666666,250.66811224337994,500.0,1000.0,1000.0,1500.0
simple (mode=ramp),jdot_step_jump_rms_aps,2400,152.7394817735217,64.89234813208431,146.88886173761057,251.34233401701647,334.81934709735486,347.5249232956656
simple (mode=ramp),kappa_step_abs_max,2400,0.00010934258500734965,0.00010073833507388193,7.49826431274414e-05,0.0002472400665283202,0.00046116709709167325,0.0005675554275512695
simple (mode=ramp),nearest_reference_window_distance,2400,0.04038691523689639,0.024671106598041326,0.03701042609267914,0.06769929769332432,0.1334224773927002,0.18067539307740443
